,case_id,submitter_id,MKI67_tpm_unst,ERBB2_tpm_unst,ESR1_tpm_unst,PGR_tpm_unst
93,e8ea576b-eb16-44f7-b241-daefc1375388,TCGA-A7-A6VY,27.783,23.5297,0.6931,0.1388
94,f51af6db-2655-47fb-9ffc-83a503a728ea,TCGA-AN-A0XR,41.3734,64.227,407.581,8.3272
95,f5539207-6534-4edc-a5a5-7666b5d16ba4,TCGA-A8-A08X,29.4514,1400.2966,1.2027,0.4528
96,c5f00132-1c6b-4337-af6f-596c652665cc,TCGA-AR-A0U3,149.9746,103.745,488.8288,15.1129
97,f5d4c2d3-cc69-4b38-8551-0917e3622a68,TCGA-AC-A2FO,6.8634,237.6835,257.0956,3.3892
98,c4699748-f01d-4b30-9c74-1ca77fb84ac1,TCGA-D8-A1XD,32.6294,217.5919,136.7272,65.2073
99,f6581eee-61b9-43d4-ab0d-ce5ce3ba1c74,TCGA-BH-A1FJ,2.0219,35.2875,47.2693,35.2539
100,a381275f-8858-4793-a8a2-0ca9db7274c8,TCGA-EW-A1J2,6.8851,268.4124,220.2209,39.469
101,f6eebd4b-b63a-4a9c-92d3-0d954a8a6655,TCGA-AC-A2FE,13.2314,164.3368,63.4759,10.552
102,5c8983f2-9788-4dfa-971c-3ec457b6166e,TCGA-A2-A0CL,52.5991,58.3324,14.8432,2.4819
103,f72c1d69-da35-459f-8542-59bfd6c09c23,TCGA-AR-A1AX,35.8653,636.7313,67.6571,67.2109
104,e9002f4e-ba0b-4738-9368-dd9614a5da8a,TCGA-OL-A66N,1.5766,171.3618,37.8663,0.5067
105,4f04bd10-9902-4a23-b15d-4f4409d79499,TCGA-E2-A108,18.3413,48.3077,42.9598,10.5041
106,e9a12df9-024e-4cbc-b6bf-e4e87485fa90,TCGA-LL-A5YM,10.8546,177.0072,60.1717,8.0886
107,a9bb8159-32f0-454c-a946-b3286a52b9d5,TCGA-A1-A0SP,41.2454,51.0204,1.8308,0.385
108,ea645243-df49-4466-a255-9f3d4321e357,TCGA-LL-A73Y,22.6974,72.1867,0.8478,0.7263
109,7acf33e7-c386-45fd-8c9a-469600378687,TCGA-A8-A08I,46.6598,64.5561,558.9149,75.0629
110,eadb0562-2165-4adb-ad58-018e73f82780,TCGA-E2-A14W,12.5703,114.0282,162.234,49.2612
